date,temp,rain,sunshine,insolation,solar,div_solar,cloud_amount,cloud_level,cloud_ceiling,snow,dust_pm25,dust_pm10
2017-01-01 0:00,0.6,0,0,0,0,0,8,8,8,0,60,53
2017-01-01 1:00,0.1,0,0,0,0,0,0,4,7,0,62,48
2017-01-01 2:00,-1.1,0,0,0,0,0,0,7,8,0,59,50
2017-01-01 3:00,-1.9,0,0,0,0,0,0,0,0,0,61,50
2017-01-01 4:00,-2.5,0,0,0,0,0,0,0,0,0,63,53
2017-01-01 5:00,-2.5,0,0,0,0,0,0,0,0,0,62,48
2017-01-01 6:00,-2.6,0,0,0,0,0,4,4,10,0,62,54
2017-01-01 7:00,-1.9,0,0,0,0,0,7,7,8,0,57,44
2017-01-01 8:00,-1.5,0,0,0,22800,22.8,8,8,10,0,58,46
2017-01-01 9:00,-0.2,0,0,0.09,116400,116.4,9,9,10,0,58,45
2017-01-01 10:00,2.2,0,0,0.29,295200,295.2,9,9,11,0,60,48
2017-01-01 11:00,4.3,0,0.5,0.67,358800,358.8,2,2,11,0,62,49
2017-01-01 12:00,5.9,0,0.3,0.84,579600,579.6,7,7,8,0,66,53
2017-01-01 13:00,6.8,0,0.5,0.89,453600,453.6,7,7,8,0,74,57
2017-01-01 14:00,7.4,0,0.4,0.82,304800,304.8,8,8,7,0,62,47
2017-01-01 15:00,7.9,0,0.1,0.44,230400,230.4,9,9,8,0,58,39
2017-01-01 16:00,7.6,0,0.3,0.4,31200,31.2,8,8,10,0,50,32
2017-01-01 17:00,7.2,0,0,0.11,0,0,9,9,10,0,47,29
2017-01-01 18:00,5.2,0,0,0,0,0,8,8,12,0,49,30
2017-01-01 19:00,5.8,0,0,0,0,0,0,9,11,0,60,41
2017-01-01 20:00,5,0,0,0,0,0,0,9,12,0,69,49
2017-01-01 21:00,4.7,0,0,0,0,0,9,7,10,0,75,52
2017-01-01 22:00,4.9,0,0,0,0,0,0,10,10,0,77,61
